点播接口配置源
https://git.acwing.com/thgyc/tvbox/-/raw/main/A.txt
https://git.acwing.com/Mix2025/0/-/raw/0/Mix1.txt
10月15日更新,#genre#
金瓶梅(楊思敏版)1,https://play.hhuus.com/play/Rb4vYB7e/index.m3u8
金瓶梅(楊思敏版)2,https://play.hhuus.com/play/RdGXQlKe/index.m3u8
金瓶梅(楊思敏版)3,https://play.hhuus.com/play/PdyAJ36d/index.m3u8
金瓶梅(楊思敏版)4,https://play.hhuus.com/play/DdwyR3ra/index.m3u8
金瓶梅(楊思敏版)5,https://play.hhuus.com/play/9b6xzEOe/index.m3u8
新紅樓夢1,https://play.hhuus.com/play/Pdy7JlWa/index.m3u8
新紅樓夢2,https://play.hhuus.com/play/mepBXw6b/index.m3u8
新紅樓夢3,https://play.hhuus.com/play/lej5OQ5d/index.m3u8
新紅樓夢4,https://play.hhuus.com/play/YerBMZEe/index.m3u8
新紅樓夢5,https://play.hhuus.com/play/pen7NQRa/index.m3u8
新紅樓夢6,https://play.hhuus.com/play/nelXMQ5e/index.m3u8
新紅樓夢7,https://play.hhuus.com/play/Xe0EAvva/index.m3u8
新紅樓夢8,https://play.hhuus.com/play/rb22GzKb/index.m3u8
新紅樓夢9,https://play.hhuus.com/play/5eVoJgMa/index.m3u8
新紅樓夢10,https://play.hhuus.com/play/YaOLJVpb/index.m3u8
新金瓶梅1,https://yzzy.play-cdn7.com/20220629/1290_1b966e11/1000k/hls/index.m3u8
新金瓶梅2,https://yzzy.play-cdn7.com/20220629/1291_728b1d46/1000k/hls/index.m3u8
新金瓶梅3,https://yzzy.play-cdn7.com/20220629/1292_3a072399/1000k/hls/index.m3u8
新金瓶梅4,https://yzzy.play-cdn7.com/20220629/1293_a82f88e2/1000k/hls/index.m3u8
新金瓶梅5,https://yzzy.play-cdn7.com/20220629/1294_8f00052a/1000k/hls/index.m3u8
赤裸特工1,https://vip.ffzy-play7.com/20221126/7133_f618770c/2000k/hls/mixed.m3u8
