直播接口超快。丝滑流畅

https://l.gmbbk.com/upload/45304530.txt
731系列,#genre#
血战台儿庄,https://vv.jisuzyv.com/play/penpx9Pb/index.m3u8
七七事变,https://gur.xn--789-2f0fs81f34x.com:16688/Fyche/BF/680954569.m3u8
八佰,http://210.16.164.82:8080/nby/m3u8/getM3u8?name=jx.91by.top&time=1755140802520&url=NBY-1122dfd0df02174c1cae10f2382d69ce.m3u8

731大溃逃,https://vip.ffzy-play6.com/20250420/35180_40557c6d/index.m3u8
黑太阳731,https://vip.lz-cdn7.com/20230128/13837_04374c6c/index.m3u8
731杀人工厂,http://127.0.0.1:8089/%BA%DA%CC%AB%D1%F4731%D6%AE%CB%C0%CD%F6%C1%D0%B3%B5-1994_%C0%B6%B9%E2%B9%FA%D4%C1%CB%AB%D3%EF%D6%D0%D7%D6.mp4
731杀人工厂,https://vip.lz-cdn3.com/20230201/17389_e12cfbb2/index.m3u8
南京大屠杀,https://v.cdnlz17.com/20240123/99674_87bc7b64/index.m3u8
南京南京,https://vv.jisuzyv.com/play/xbo9VpKe/index.m3u8
南京照相馆,http://160.202.226.85:88/DADCache/Ff/38c101c9fc1320efa39fd048ecc92099.m3u8
东极岛,https://play.ly166.com:65/videos/20250809/689747b95cf6b9c7469a8f22/6gbe65/index.m3u8

731恐怖女体实验,#genre#
1,https://vip.ffzy-play6.com/20250420/35175_585f0bc4/index.m3u8
2,https://vip.ffzy-play6.com/20250420/35176_86e58960/index.m3u8
3,https://vip.ffzy-play6.com/20250420/35177_f78ff70e/index.m3u8
4,https://vip.ffzy-play6.com/20250420/35178_4ef88f93/index.m3u8
荒源城堡731,#genre#
1,https://vip.ffzy-play6.com/20250802/37374_9c7fe165/index.m3u8
2,https://vip.ffzy-play6.com/20250802/37375_50375337/index.m3u8
3,https://vip.ffzy-play6.com/20250802/37376_abd638b5/index.m3u8
4,https://vip.ffzy-play6.com/20250802/37377_5ad73b73/index.m3u8
5,https://vip.ffzy-play6.com/20250802/37378_facb4be5/index.m3u8
6,https://vip.ffzy-play6.com/20250802/37379_60e52152/index.m3u8
7,https://vip.ffzy-play6.com/20250802/37380_efe51e87/index.m3u8
8,https://vip.ffzy-play6.com/20250802/37381_a661c280/index.m3u8
9,https://vip.ffzy-play6.com/20250802/37382_537a67c4/index.m3u8
10,https://vip.ffzy-play6.com/20250802/37383_2c12edb7/index.m3u8
阴阳路系列,#genre#
阴阳路,https://vip.ffzy-play7.com/20221112/3394_e69765a7/2000k/hls/mixed.m3u8
阴阳路2我在你左右https://vip.ffzy-play7.com/20221112/3396_ac1e1f2a/2000k/hls/mixed.m3u8
阴阳路3升棺发财,https://vip.ffzy-play6.com/20221113/6789_ce816e43/2000k/hls/mixed.m3u8
阴阳路4与鬼同行,https://vip.ffzy-play6.com/20221113/6787_c3555cfc/2000k/hls/mixed.m3u8
阴阳路5一见发财,https://vip.ffzy-play7.com/20221209/9207_53b60760/2000k/hls/mixed.m3u8
阴阳路6凶周刊,https://vip.ffzy-play7.com/20230509/24375_6e8f0d65/2000k/hls/mixed.m3u8
